osm_edge_id,physical_edge_id,directed_edge_count,road_name,road_class,length_m,length_m_for_density,traffic_lanes_estimated,traffic_lanes_source,traffic_speed_estimated_kmh,traffic_speed_estimate_source,traffic_speed_08_09_kmh,traffic_speed_daily_avg_kmh,traffic_speed_used_kmh,traffic_speed_source,traffic_lanes_avg,traffic_lanes_max,topis_link_count,topis_record_count,estimated_traffic_volume,inverse_speed_risk,crosswalk_count,crosswalk_weight,traffic_signal_count,traffic_signal_weight,nearest_crosswalk_distance_m,nearest_signal_distance_m,crosswalk_count_per_100m,traffic_signal_count_per_100m,child_facility_count_300m,child_facility_count_300m_capped,road_6lane_or_traffic_weight,child_facility_weight,final_local_method_weight,pedestrian_accident_hybrid_weight,local_method_risk_index,local_method_safety_index,local_method_risk_decile,geometry_wkt
2824756193_2824756402_0,2824756193_2824756402_0,2,행운9길,service,72.18852241413194,72.18852241413194,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.959735 37.483247, 126.959681 37.483176, 126.959253 37.482723)"
2824756196_2824756199_0,2824756196_2824756199_0,2,행운5길,service,88.29195622402597,88.29195622402597,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.959106 37.480861, 126.959717 37.48149)"
2824756196_2824756416_0,2824756196_2824756416_0,2,남부순환로233길,service,60.813788941016256,60.813788941016256,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.959106 37.480861, 126.959096 37.480907, 126.959079 37.481138, 126.959046 37.481326, 126.959065 37.481404)"
2824756199_2824756498_0,2824756199_2824756498_0,2,행운5길,service,39.066547285198425,39.066547285198425,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.959717 37.48149, 126.95937 37.481708)"
2824756199_4619380791_0,2824756199_4619380791_0,2,행운5길,service,37.8155457581671,37.8155457581671,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.019,1.019,1.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.959717 37.48149, 126.960053 37.481279)"
2824756304_2824756367_0,2824756304_2824756367_0,2,행운4길,service,40.952418497599425,40.952418497599425,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.960825 37.479518, 126.960427 37.479708)"
2824756304_2824756531_0,2824756304_2824756531_0,2,행운4길,service,97.9655836257822,97.9655836257822,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.960825 37.479518, 126.960964 37.479469, 126.961824 37.479134)"
2824756308_2824756366_0,2824756308_2824756366_0,2,청림6길,residential,127.92223105822018,127.92223105822018,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,3,3.0,0,0.0,5.421,0.0,2.34517485755438,0.0,15.0,6.0,1.0,1.019,1.019,0.166667,2.302060852129525,-2.302060852129525,9,"LINESTRING (126.959029 37.486361, 126.959067 37.486437, 126.9593 37.486665, 126.959413 37.486862, 126.959459 37.487018, 126.959507 37.487167, 126.959519 37.487412)"
2824756308_2824756525_0,2824756308_2824756525_0,2,,residential,114.89681710132632,114.89681710132632,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,1.0,1.019,1.019,0.166667,-0.9282886295848563,0.9282886295848563,6,"LINESTRING (126.959519 37.487412, 126.95945 37.487395, 126.959415 37.487376, 126.959397 37.48733, 126.959389 37.487284, 126.95938 37.487253, 126.959361 37.487227, 126.959336 37.487214, 126.959318 37.48721, 126.959283 37.487202, 126.959224 37.487192, 126.95916 37.487174, 126.959028 37.487126, 126.958834 37.487052, 126.958592 37.486976, 126.958446 37.486931)"
2824756310_2824756367_0,2824756310_2824756367_0,2,행운4길,service,103.97590690332487,103.97590690332487,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,0.125,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.959367 37.480115, 126.960427 37.479708)"
2824756310_2824756455_0,2824756310_2824756455_0,2,행운4길,service,59.54578910012812,59.54578910012812,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,0.125,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.959367 37.480115, 126.958763 37.480355)"
2824756310_4196322507_0,2824756310_4196322507_0,2,행운길,residential,59.51924563732909,59.51924563732909,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,0.125,-0.9282886295848563,0.9282886295848563,6,"LINESTRING (126.959367 37.480115, 126.959073 37.479634)"
2824756310_4619422650_0,2824756310_4619422650_0,2,행운길,residential,32.44869396746792,32.44869396746792,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,0.125,-0.9282886295848563,0.9282886295848563,6,"LINESTRING (126.959367 37.480115, 126.95947 37.480318, 126.959502 37.480387)"
2824756313_4619381986_0,2824756313_4619381986_0,2,행운1다길,service,58.945698810574655,58.945698810574655,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.956965 37.481998, 126.957198 37.482226, 126.957473 37.482317)"
2824756313_4619422669_0,2824756313_4619422669_0,2,행운1다길,service,43.99915104039002,43.99915104039002,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,1.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.956965 37.481998, 126.957346 37.481743)"
2824756313_4619505781_0,2824756313_4619505781_0,2,행운1다길,service,49.96083129788138,49.96083129788138,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.956965 37.481998, 126.956528 37.482283)"
