walk_edge_id,source_u,source_v,length_m,walking_type,crosswalk,overpass,bridge,tunnel,building,park_green,emd_nm,edge_safety_basis,case_A_subtype,matched_road_id,matched_road_risk_index,matched_road_risk_pct,safety_score_0_1,geometry_wkt,case_A_reference_distance_m,case_A_reference_overlap_ratio,case_A_reference_angle_diff_deg,nearest_road_distance_m,distance_discount_factor,case_D_distance_m,crossing_mapping_strategy,crosswalk_midpoint_road_id,crosswalk_midpoint_road_distance_m,walking_risk_score_0_1
137565,122492.0,122340.0,57.063,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,2061170233_2253491117_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.94172099248189 37.47138415891861, 126.94236403073502 37.471425001014076)",,,,,,,,,,0.13326110509209102
132781,110497.0,110538.0,81.73,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,2824641448_4370507942_0,-0.9109800094061395,0.6847914409534128,0.6847914409534128,"LINESTRING (126.92040363238908 37.481024525147205, 126.92063412655894 37.48031141155526)",,,,0.0,1.0,,,,,0.6847914409534128
130474,110790.0,110782.0,11.136,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,2824613791_2824614119_0,8.047895809460258,0.9371614301191766,0.9371614301191766,"LINESTRING (126.91872390971055 37.47416436562864, 126.91870487389524 37.47406518138303)",,,,,,,,,,0.9371614301191766
131065,87437.0,87439.0,66.509,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,2824629016_2824632229_0,-0.9109800094061395,0.6847914409534128,0.6847914409534128,"LINESTRING (126.91532852808024 37.46052381716368, 126.91527884003256 37.46026955950403, 126.91529262332116 37.459927809538314)",,,,,,,,,,0.6847914409534128
137550,67772.0,67770.0,26.941,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,2824759213_8482687961_0,10.692293662722104,0.9543607800650055,0.9543607800650055,"LINESTRING (126.95973887670613 37.49228278113321, 126.95952355582212 37.492111065674955)",,,,,,,,,,0.9543607800650055
137556,90210.0,114112.0,15.952,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,2045932015_2045932054_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.93451691820543 37.47838765781997, 126.93469498023833 37.4783648707333)",,,,,,,,,,0.48733748645720476
138696,67784.0,67786.0,24.689,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,4125224057_4125224088_0,0.861422071133613,0.784534127843987,0.784534127843987,"LINESTRING (126.92555239177595 37.47503238683998, 126.9253448120589 37.47488367972434)",,,,0.0,1.0,,,,,0.784534127843987
138707,53394.0,53854.0,17.901,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,13700931885_2822483949_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.90236478887869 37.47973341448013, 126.90255184800502 37.479794978666945)",,,,0.0,1.0,,,,,0.13326110509209102
138711,67375.0,112412.0,68.9,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,4125224079_4125224080_0,0.861422071133613,0.784534127843987,0.784534127843987,"LINESTRING (126.92403835609618 37.47636860834716, 126.92449161181555 37.47586374007123)",,,,,,,,,,0.784534127843987
139306,116542.0,116544.0,29.45,1111,0,0,0,0,0,0,봉천동,case_A_separated,1111_named_local_parallel_separated,1834116227_1904181619_0,-0.9282886295848564,0.48733748645720476,0.0,"LINESTRING (126.94355511252817 37.48013548639914, 126.94388419344608 37.480095116513375)",3.508815664724382,0.9996186984404621,1.3873653173804996,,,,,,,0.0
139308,120094.0,120095.0,104.863,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,1834116150_1834116278_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.9515022871592 37.47934116573707, 126.9516778842143 37.480275570657916)",,,,,,,,,,0.48733748645720476
