searchConditionText,searchCondition,searchKeyword,pageIndex,pageUnit,recordCountPerPage,zoneYn,acdnt_no,engn_code,acdnt_year,acdnt_dd_dc,dfk_code,dfk_dc,tmzon_div_1_code,tmzon_div_1_dc,occrrnc_time_code,occrrnc_time_dc,legaldong_code,legaldong_name,acdnt_hcode,acdnt_hdc,acdnt_mcode,acdnt_mdc,acdnt_code,acdnt_dc,lrg_violt_1_code,lrg_violt_1_dc,x_crdnt,y_crdnt,wether_sttus_code,wether_sttus_dc,road_stle_code,road_stle_dc,hhdgw_at,acdnt_gae_code,acdnt_gae_dc,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt,wrngdo_vhcle_asort_hcode,wrngdo_vhcle_asort_hdc,wrngdo_vhcle_asort_code,wrngdo_vhcle_asort_dc,injury_dgree_1_hcode,injury_dgree_1_hdc,injury_dgree_1_code,injury_dgree_1_dc,acdnt_age_1_code,acdnt_age_1_dc,sexdstn_div_1_code,sexdstn_div_1_dc,dmge_vhcle_asort_hcode,dmge_vhcle_asort_hdc,dmge_vhcle_asort_code,dmge_vhcle_asort_dc,injury_dgree_2_hcode,injury_dgree_2_hdc,injury_dgree_2_code,injury_dgree_2_dc,acdnt_age_2_code,acdnt_age_2_dc,sexdstn_div_2_code,sexdstn_div_2_dc,bdy_injury_part_1_code,bdy_injury_part_1_dc,bdy_injury_part_2_code,bdy_injury_part_2_dc,spt_otlnmap_at,rdse_sttus_code,rdse_sttus_dc,acdnt_pos,acdnt_des,road_div,road_no,route_nm,otn_acdnt_no,city_idt_code,city_idt_dc,xCrdnt,yCrdnt,acdnt_frm_lv1,acdnt_frm_lv2,acdnt_frm_lv3,acdnt_sta_lv1,acdnt_sta_lv2,rde_id,rde_nm,serial_no,rn,lon,lat
,,,1,3,10,False,2022012400100112,00,2022,2022년  1월,1,월요일,01,주간,09,09시,1162010100,서울특별시 관악구,100,차대사람,140,보도통행중,140,차대사람 - 보도통행중,08,보행자보호의무위반,952467,1942187,01,맑음,115,교차로 - 교차로횡단보도내,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,66,65세 이상,1,남,500,보행자,500,보행자,200,부상,220,경상,32,31-40세,1,남,00,상해없음,07,뒷면 등,없음,01, 건조, ,   ,104,-,솔밭로,20220003431121,,,0.0,0.0,,,,,,,,2022012072,,126.96239796621252,37.47769105527801
,,,1,3,10,False,2022012500100214,00,2022,2022년  1월,2,화요일,01,주간,13,13시,1162010200,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,947049,1942708,01,맑음,998,기타 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,150,이륜,300,상해없음,300,상해없음,26,21-30세,1,남,500,보행자,500,보행자,200,부상,220,경상,45,41-50세,1,남,00,상해없음,98,기타,없음,01, 건조, ,   ,104,-,시흥대로,20220002301121,,,0.0,0.0,,,,,,,,2022012714,,126.9010853808959,37.48209224198125
,,,1,3,10,False,2022012600100326,00,2022,2022년  1월,3,수요일,01,주간,16,16시,1162010100,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,08,보행자보호의무위반,951982,1943427,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,120,승합,300,상해없음,300,상해없음,70,65세 이상,2,여,500,보행자,500,보행자,200,부상,220,경상,80,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조, 동아상가 앞 횡단보도,   ,104,-,관악로37길,20220002441121,,,0.0,0.0,,,,,,,,2022013367,,126.9568318967306,37.48884244531823
,,,1,3,10,False,2022012600100397,00,2022,2022년  1월,3,수요일,02,야간,18,18시,1162010300,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,98,기타,954093,1941976,02,흐림,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,30,21-30세,1,남,500,보행자,500,보행자,200,부상,220,경상,22,21-30세,2,여,00,상해없음,08,뒷면 허리,없음,01, 건조,앞 ,   ,104,-,남현1길,20220002541121,,,0.0,0.0,,,,,,,,2022013437,,126.98080061050526,37.475871483876745
,,,1,3,10,False,2022012800100079,00,2022,2022년  1월,5,금요일,01,주간,09,09시,1162010200,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,949767,1941519,01,맑음,110,교차로 - 교차로안,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,56,51-60세,2,여,500,보행자,500,보행자,200,부상,220,경상,41,41-50세,1,남,00,상해없음,08,뒷면 허리,없음,01, 건조, ,   ,,,,20220002621121,,,0.0,0.0,,,,,,,,2022014220,,126.93190766238746,37.47152731169438
,,,1,3,10,False,2022020300100414,00,2022,2022년  2월,4,목요일,02,야간,21,21시,1162010100,서울특별시 관악구,100,차대사람,110,횡단중,110,차대사람 - 횡단중,06,안전운전불이행,951172,1943217,01,맑음,110,교차로 - 교차로안,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,150,이륜,300,상해없음,300,상해없음,30,21-30세,1,남,500,보행자,500,보행자,200,부상,220,경상,82,65세 이상,2,여,00,상해없음,06,뒷면 뒷목,없음,01, 건조, 앞 도로,   ,104,-,은천로,20220003081121,,,0.0,0.0,,,,,,,,2022016860,,126.94768369336269,37.486907180366
,,,1,3,10,False,2022020500100131,00,2022,2022년  2월,6,토요일,01,주간,13,13시,1162010200,서울특별시 관악구,200,차대차,299,기타,299,차대차 - 기타,03,안전거리미확보,949928,1941807,01,맑음,120,교차로 - 교차로부근,N,02,중상사고,0,1,2,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,52,51-60세,1,남,100,원동기 자전거 이상,150,이륜,200,부상,220,경상,41,41-50세,1,남,00,상해없음,98,기타,없음,01, 건조, 횡단보도,   ,104,-,신림로,20220003271121,,,0.0,0.0,,,,,,,,2022017512,,126.93370876887386,37.47413187207814
,,,1,3,10,False,2022020800100052,00,2022,2022년  2월,2,화요일,01,주간,07,07시,1162010100,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,952764,1941770,01,맑음,998,기타 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,68,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,58,51-60세,2,여,00,상해없음,08,뒷면 허리,없음,01, 건조, 앞 노상,   ,,,,20220003491121,,,0.0,0.0,,,,,,,,2022018482,,126.96578368060479,37.47394774025548
,,,1,3,10,False,2022020900100001,00,2022,2022년  2월,3,수요일,02,야간,00,00시,1162010100,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,98,기타,950318,1942920,01,맑음,120,교차로 - 교차로부근,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,54,51-60세,1,남,500,보행자,500,보행자,200,부상,210,중상,48,41-50세,1,남,00,상해없음,98,기타,없음,01, 건조, ,   ,104,-,남부순환로,20220003611121,,,0.0,0.0,,,,,,,,2022018934,,126.93804417410365,37.48418469082341
,,,1,3,10,False,2022020900100055,00,2022,2022년  2월,3,수요일,01,주간,07,07시,1162010300,서울특별시 관악구,100,차대사람,110,횡단중,110,차대사람 - 횡단중,06,안전운전불이행,954194,1941811,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,120,승합,300,상해없음,300,상해없음,68,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,16,13-20세,2,여,00,상해없음,01,앞면 얼굴,없음,01, 건조, 버스전용차로 및 횡단보도,   ,104,-,과천대로,20220000971133,,,0.0,0.0,,,,,,,,2022018984,,126.98195312396629,37.47438929727805
