LINK_ID,ROAD_NAME,ROAD_RANK,LENGTH,도로코드,보행안전지수,intersection_length_m,accident_count_link
2260132101,가구단지길,107,14.001699868339,529,-2.234039987,6.641768972165193,0
2260004502,과천의왕간고속도로,106,168.677819596984,2397,-9.911821466,6.638955440081334,0
2260043104,덕영대로,107,13.2296535168,2198,-13.36729135,6.62691133271679,0
2090182502,흥안대로,103,13.206910971507,2029,5.295780577,6.622599407292745,0
2260046013,왕송못동로,107,73.162778645266,2216,-14.45196312,6.60806863812601,0
2260144401,고래들길,107,65.713781055816,404,5.512421394,6.602471999437535,0
2260001003,과천의왕간고속도로,106,753.502006032208,593,-5.842494904,6.59503003788923,4
2260154301,초평로,107,64.218558090737,76,8.792059836,6.553442621252258,0
2260014201,포일로,107,11.357448224068,2063,1.271310679,6.518807068702165,0
2260020002,새롬길,107,78.956007675853,361,-0.913413466,6.443294156857943,2
2260006607,경수대로,103,12.454504189537,2024,20.47386712,6.346635968794721,1
2260135100,백운로,107,109.515667889971,542,-8.34948914,6.322200019886719,0
2260025401,부곡중앙로,107,11.209553197511,2256,0.123514642,6.293387690285446,0
2260014711,청계로,107,180.081269347456,2067,-14.03048663,6.284999244717192,0
2260129201,장안로,107,12.061828427406,498,4.938114718,6.283615194881102,0
2260051901,부곡중학길,107,10.898582260306,2233,-6.549494808,6.282740904139007,0
2260016500,전주남이길,107,36.07482644044,292,21.26513351,6.160319256673446,0
2260143702,덕영대로,107,12.638788304037,399,-0.380444898,6.1273417255578435,0
2260016904,전주남이길,107,89.474265647477,291,10.28137227,6.1262131101617205,1
2260014707,청계로,107,156.008023658641,262,7.065670746,6.121607150661707,1
2260014903,덕장로,107,12.022093300295,271,25.8359553,6.085242666913649,0
2260136501,바라산로,107,12.099048650352,550,-8.69879278,6.084406266539528,1
2260016103,전주남이길,107,44.185114028557,224,9.853367458,6.0656510820070055,0
2260014905,덕장로,107,42.631093989019,159,5.80221167,6.029824263437992,0
2260032801,고산로,107,7.118298734261,177,-5.870822649,6.028205116461217,0
2260141800,봇들4길,107,95.893402088818,4,26.45927842,6.010181374705052,0
2260025200,부곡중앙로,107,37.443478365602,288,-5.415147995,6.006140473648917,1
2260156300,영동고속도로,101,384.057168477795,205,-6.235294888,6.0024899332520665,0
2260020900,찬우물길,107,127.184375318413,17,23.7664449,6.0001691126692185,1
2260036300,부곡초등3길,107,59.252727587898,101,10.78195663,6.000011515751614,1
2260048903,갈미1로,107,57.880551163021,43,-0.110736812,5.9925115684969,0
2260111001,제2경인고속도로,101,12.032245348745,480,4.723580872,5.971642392891723,0
2260009905,안양판교로,105,11.04736630724,2041,-6.820539763,5.947454543255067,0
2260018800,내손순환로,107,191.410168972794,42,11.94387309,5.896026309706478,2
2250062903,송부로,107,12.000141149563,585,4.092530673,5.878668534274854,0
2260137305,학현로,107,292.072774960016,58,-8.903245448,5.878246362344951,0
2260034001,덕영대로,107,12.701463882594,2162,5.298186061,5.856021983247415,0
2260035401,철도박물관로,107,10.998216909509,2167,5.519080213,5.785779594197883,0
2260021405,오전공업길,107,69.147453424626,2108,-1.579786167,5.776982511385237,0
2250030801,산본로77번길,107,189.764380754951,190,17.95635785,5.761176742158569,0
2260152901,경수대로,103,68.32783007735,252,-1.342470565,5.757894738270787,1
2260025001,부곡중앙로,107,10.847071899294,2128,-12.13176763,5.677051799054265,1
2260131202,등칙골길,107,21.398548919033,20,0.747264988,5.616182345808626,1
2260015803,오전로,107,11.002380688566,2076,-10.64035051,5.6156336175430965,0
2260154200,초평로,107,12.311020120179,90,-15.93851151,5.594785332142783,0
2260024802,부곡중앙북2길,107,51.997086561522,289,13.21221737,5.569767146217278,0
2260152502,갈미안로,107,9.936295547142,426,21.32932754,5.527389430991206,0
2260009608,안양판교로,105,11.007847368347,2040,-3.905438169,5.513084069111429,0
2250275102,고래들길,107,7.81473285386,404,5.512421394,5.47697689433355,0
2260128901,월암길,107,9.685176983239,2242,-14.54510558,5.394640096118828,0
