도로코드,보행안전지수,accident_count,mapped_link_count
313,8.030504066,0,0
314,-1.244132299,0,2
315,3.370377337,0,0
316,-5.28695714,0,0
317,-4.902314503,0,0
318,-1.095172359,0,0
319,-1.479113519,0,0
320,3.658714305,0,0
321,-8.643002044,0,0
322,8.033344373,0,0
323,-2.838542585,0,0
324,-0.250699713,0,0
325,7.957732533,0,0
326,1.782567422,0,0
327,36.18561811,0,1
328,26.25388847,0,0
329,-0.657696743,0,0
330,-1.529346215,0,0
331,5.255069876,0,1
332,2.696744269,0,0
333,12.83819912,0,0
334,22.13492755,0,0
335,31.28576967,0,0
336,2.054780085,0,0
337,8.060511281,0,1
338,8.290631231,0,0
339,13.70986432,0,0
340,1.650678969,0,0
341,9.998717853,0,0
342,2.124212829,1,0
343,-2.576963931,0,0
344,-14.90260899,0,0
345,4.289845228,0,0
346,9.534330293,0,0
347,12.61970024,0,11
348,1.730221899,6,40
349,6.111756485,0,0
350,-9.736156884,0,0
351,22.57783503,0,0
352,29.46414682,0,0
353,1.512791551,1,1
354,13.77130356,0,1
355,-7.084251988,0,2
356,-9.539199768,0,0
357,-2.699668507,1,0
358,13.59750691,0,0
359,11.10942517,1,0
360,9.057065229,0,0
361,-0.913413466,2,2
362,2.033947919,0,0
363,-5.478315651,4,0
364,4.510124133,1,1
365,20.00171708,4,0
366,-10.12740436,1,2
367,-3.470861628,0,0
368,-1.746616034,0,0
369,-1.810522434,0,0
370,30.35158592,0,0
371,14.56999458,0,0
372,-5.851328312,0,0
373,-4.124323622,0,0
374,9.758865494,0,0
375,15.91766894,0,0
376,28.75668862,0,0
377,13.90544768,0,0
378,19.04092879,0,0
379,-7.368106144,0,0
380,6.988596379,0,0
381,5.261997584,0,0
382,15.25191243,0,1
383,19.21189039,0,0
384,12.03483475,1,0
385,7.402361822,0,0
386,9.90184623,0,0
387,-10.85326025,0,0
388,-6.601074713,0,1
389,-1.328670325,0,0
390,-11.07721417,3,1
391,17.21883058,0,0
392,11.32523295,1,0
393,12.57637185,0,3
394,13.06308692,1,4
395,3.787340474,0,4
396,-10.3490175,1,7
397,10.65778816,1,2
398,-7.451751134,0,5
399,-0.380444898,2,4
400,1.067199292,1,9
401,6.380176006,1,5
402,8.269806876,0,4
403,39.79488764,0,5
404,5.512421394,0,6
405,11.35390974,2,2
406,11.24103425,0,3
407,2.901075668,1,6
408,18.31780811,3,5
409,-11.08899906,3,5
410,-9.594722181,3,3
411,3.667379336,1,4
412,9.985413272,0,3
413,11.47027786,0,5
414,28.23183782,1,6
415,19.1024239,5,7
416,13.51357764,1,3
417,0.496784435,0,4
418,15.42326075,0,2
419,6.907251571,2,8
420,12.95170265,1,7
421,8.016929892,1,5
422,18.31764495,0,0
423,10.88636192,0,4
424,4.011843057,0,4
425,13.04692337,2,5
426,21.32932754,3,5
427,0.57418711,0,4
428,3.666075641,0,3
429,-6.171520793,0,2
430,9.788797473,0,4
431,-4.566373485,7,3
432,-14.42602636,0,3
433,15.46527366,4,5
434,12.03963822,5,4
435,10.75393607,1,3
436,1.982301585,9,3
437,16.53722909,7,4
438,13.72618961,4,5
