osm_edge_id,physical_edge_id,directed_edge_count,road_name,road_class,admin_dong,length_m,length_m_for_density,traffic_lanes_estimated,traffic_lanes_source,traffic_speed_estimated_kmh,traffic_speed_estimate_source,traffic_speed_08_09_kmh,traffic_speed_daily_avg_kmh,traffic_speed_used_kmh,traffic_speed_source,traffic_lanes_avg,traffic_lanes_max,topis_link_count,topis_record_count,estimated_traffic_volume,inverse_speed_risk,crosswalk_count,crosswalk_weight,traffic_signal_count,traffic_signal_weight,crosswalk_count_per_100m,crosswalk_weight_per_100m,traffic_signal_count_per_100m,traffic_signal_weight_per_100m,is_school_zone,child_facility_count_300m,elderly_medical_facility_count_300m,child_facility_count_300m_capped,elderly_medical_facility_count_300m_capped,schoolzone_overlap_length_m,schoolzone_overlap_share,child_living_population_ratio,elderly_living_population_ratio,vulnerable_living_population_ratio,road_6lane_or_traffic_weight,vulnerable_population_weight,vulnerable_facility_weight,final_local_method_weight,pedestrian_accident_hybrid_weight,local_method_risk_index,local_method_safety_index,local_method_risk_decile,geometry_wkt
10170482478_4626274486_0,10170482478_4626274486_0,2,신사로18길,service,,55.17210004235044,55.17210004235044,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-2.341734519296031,2.341734519296031,4,"LINESTRING (126.916458 37.488895, 126.916811 37.488486)"
10170499849_10170499851_0,10170499849_10170499851_0,2,,service,,82.19095757735037,82.19095757735037,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-1.7805081548633817,1.7805081548633817,6,"LINESTRING (126.903533 37.481468, 126.904046 37.481722, 126.903871 37.481942)"
10170499849_2822487082_0,10170499849_2822487082_0,2,시흥대로166길,residential,,29.14885138097658,29.14885138097658,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-2.632918963925856,2.632918963925856,3,"LINESTRING (126.90335 37.481686, 126.903391 37.481637, 126.903533 37.481468)"
10170499849_2822487090_0,10170499849_2822487090_0,2,시흥대로166길,residential,,82.50390595714231,82.50390595714231,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-1.3707061277526622,1.3707061277526622,7,"LINESTRING (126.903794 37.48076, 126.903601 37.481386, 126.903533 37.481468)"
10170499851_2822487082_0,10170499851_2822487082_0,2,조원로6길,residential,,54.070892665247165,54.070892665247165,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-1.9633642589357136,1.9633642589357136,5,"LINESTRING (126.90335 37.481686, 126.903871 37.481942)"
10170499851_2822487096_0,10170499851_2822487096_0,2,조원로6길,residential,,114.55768849143638,114.55768849143638,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,1.0,4.0,1.0,0.0,0.0,,,0.0,1.0,1.0,1.0516079999999999,1.0516079999999999,0.0,-0.8417946626415622,0.8417946626415622,7,"LINESTRING (126.904734 37.482694, 126.904203 37.482129, 126.904133 37.48207, 126.903871 37.481942)"
10170499880_10170499881_0,10170499880_10170499881_0,2,,service,,32.96486958868029,32.96486958868029,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-2.9194598359227117,2.9194598359227117,2,"LINESTRING (126.904672 37.48164, 126.904371 37.481816)"
10170499880_10170499884_0,10170499880_10170499884_0,2,조원로10길,residential,,31.800489833675258,31.800489833675258,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-2.5506175677350056,2.5506175677350056,4,"LINESTRING (126.904672 37.48164, 126.904896 37.481864)"
10170499880_2822487090_0,10170499880_2822487090_0,2,조원로10길,residential,,124.78015510441979,124.78015510441979,1.0,road_class_default,14.0,road_class_default,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-0.6555805719973102,0.6555805719973102,7,"LINESTRING (126.903794 37.48076, 126.904672 37.48164)"
10170499882_10170499884_0,10170499882_10170499884_0,2,,service,,69.98679726605289,69.98679726605289,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,3.0,1.0,0.0,0.0,,,0.0,1.0,1.0,1.0516079999999999,1.0516079999999999,0.0,-2.0850193992394446,2.0850193992394446,5,"LINESTRING (126.905066 37.482318, 126.904709 37.481974, 126.904896 37.481864)"
